"revenue","genre","year","runtime","rating","vote_count","popularity","High_Revenue"
197410,"家庭",2025,110,6.6,51,0.6718,"Non_High_Revenue"
105506,"剧情",2025,117,6,1,0.7231,"Non_High_Revenue"
100968,"剧情",2025,116,6.2,107,0.8526,"Non_High_Revenue"
11148377,"剧情",2025,99,5.2,4,0.954,"High_Revenue"
5041817,"科幻",2025,108,6.915,1462,13.1605,"High_Revenue"
1160569,"恐怖",2025,113,5.9,58,1.5692,"Non_High_Revenue"
277417,"剧情",2025,111,7.357,7517,7.2953,"Non_High_Revenue"
142519,"剧情",2025,98,6.176,54,0.7645,"Non_High_Revenue"
119245,"爱情",2025,110,6.2,13,0.9469,"Non_High_Revenue"
7395088,"动画",2025,105,8.3,36,5.317,"High_Revenue"
206778725,"动作",2025,117,6.1,81,5.4932,"High_Revenue"
30953449,"动画",2025,110,8.402,82,4.1305,"High_Revenue"
1179546,"犯罪",2025,123,6.976,42,5.0326,"Non_High_Revenue"
716813,"冒险",2025,93,7.113,107,2.0732,"Non_High_Revenue"
422666,"喜剧",2025,104,6.314,129,1.4938,"Non_High_Revenue"
249194,"剧情",2025,0,7.9,8,0.909,"Non_High_Revenue"
247806,"剧情",2025,128,8.2,9,0.3186,"Non_High_Revenue"
200749,"剧情",2025,102,6.2,75,0.6027,"Non_High_Revenue"
190074,"剧情",2025,90,8,2,0.4522,"Non_High_Revenue"
152259,"剧情",2025,110,6.6,5,0.9185,"Non_High_Revenue"
61551498,"恐怖",2025,136,6.89,1792,39.0067,"High_Revenue"
94621,"恐怖",2025,112,7.537,12670,19.1033,"Non_High_Revenue"
4901056,"动画",2025,119,0,0,0.9155,"High_Revenue"
12558437,"音乐",2025,117,7,1,0.5024,"High_Revenue"
2725085,"爱情",2025,115,7.2,32,2.2712,"Non_High_Revenue"
1395721,"恐怖",2025,118,6.7,3,0.8335,"Non_High_Revenue"
881575,"动作",2025,102,5.983,367,5.135,"Non_High_Revenue"
787674,"恐怖",2025,95,6.904,73,5.2701,"Non_High_Revenue"
639802,"剧情",2025,92,7.7,220,4.4603,"Non_High_Revenue"
256684,"动画",2025,92,8.3,3,1.6255,"Non_High_Revenue"
